DADOS GERAIS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
BSW;89,79;;%;;;;;;;;;;;
RGO da formação;59,8;m³/m³;;;;;;;;;;;;
Densidade do gás produzido;0,636;;(ar = 1,0);;;;;;;;;;;
Dist. mesa rot. cab. produção;1.333,00;m;;;;;;;;;;;;
Temperatura ambiente a jusante (produção);25;°C;;;;;;;;;;;;
Temperatura ambiente na árvore (injeção);3,4;°C;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
OPÇÕES DE CÁLCULO;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Pressão de tubo;;;Variável de Sensibilidade;;;;;;;;;;;
Pressão de injeção;198,95;kgf/cm²;man.;;;;;;;;;;;
 - Vazão Estimada de injeção;;m³/d;;;;;;;;;;;;
 - Convergir Vazão de Injeção;;;NÃO;;;;;;;;;;;
Cálculo térmico;;;SIM;;;;;;;;;;;
Correlação para Válvula de Pressão;;;Standard;;;;;;;;;;;
Correlação para Válvula de Orifício;;;T-C modificado;;;;;;;;;;;
Correlação para Válvula de Venturi;;;T-C modificado;;;;;;;;;;;
Fator correção para válvula;;;0,29;;;;;;;;;;;
Densidade do gás de injeção;0,641;;(ar = 1,0);;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
OPÇÕES DE CONTORNO;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Pjus e IPR Conhecidos, Calcula Vazão de Equilíbrio;;;;;;;;;;;;;;
Tipo de IPR;;;Linear;;;;;;;;;;;
Pressão Estática;256,8;kgf/cm²;man.;;;;;;;;;;;
Dados para IPR;;;IP;;;;;;;;;;;
Índice de Produtividade;352,83;(m³/d)/(kgf/cm²);;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
DESCRIÇÃO DAS UNIDADES;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
DE PRODUÇÃO (de jusante [superfície] para montante [fonte]):;;;;;;;;;;;;;;
;;Comprim;Diâm;Diâm;Ângulo;Número;T.Mon;;Inj Montante;Inj Montante;Inj Montante;Fator de;Fator de;
UN;Natureza;Medido;Tubo;Rev;c/Horiz;Trechos;Amb;NV;Vazão;RGLI;RGLT;Correção;Correção;Correlação
;;[m];[in];[in];[graus];;[°C];;[m³/d];[m³/m³];[m³/m³];[dP/dL];[dP/dT];
1;Aérea;29,6;6;0;90;1;25;;;;;0,9932;1,114;Hagedorn & Brown
2;Marítima;540,6;6;0;81,58;11;8,8;;;;;0,9932;1,114;Hagedorn & Brown
3;Marítima;339,8;6;0;76,53;7;4,7;;;;;0,9932;1,114;Hagedorn & Brown
4;Marítima;216,3;6;0;68,54;5;3,5;;;;;0,9932;1,114;Hagedorn & Brown
